LP,Score,Time,Memory,LM_Score,LM_Time,LM_Usage
cs-en,0.235,15.855670700000005,3.558393,0.442,9.398126399999995,0.96448
de-en,0.395,13.523357999999995,2.286151,0.485,9.307219700000005,0.877646
fi-en,0.337,13.095006299999994,2.19559,0.622,9.155854099999999,0.491279
lv-en,0.222,14.211346399999996,3.1802,0.591,7.273632400000011,0.303442
ru-en,0.342,15.529095999999981,2.705046,0.491,9.320954099999994,0.264931
tr-en,0.341,14.867952900000006,3.258908,0.474,9.124849399999988,0.227061
zh-en,0.369,16.058393599999988,2.547295,0.456,9.213623899999988,0.818694
cs-en,0.058,11.825575100000009,3.475181,0.391,9.347922900000015,0.781649
de-en,0.291,10.47458309999999,2.264133,0.454,9.315544499999987,0.711144
fi-en,0.134,10.293856699999992,2.184611,0.586,9.161946599999965,0.332957
lv-en,-0.049,11.559869100000014,3.173271,0.539,7.214933599999995,0.24893
ru-en,0.209,12.32097269999997,2.701613,0.444,9.189982699999973,0.264907
tr-en,0.081,11.502282799999989,3.258275,0.414,9.166659299999992,0.227253
zh-en,0.302,12.655150099999958,2.544646,0.422,9.258699199999967,0.818718
cs-en,0.522,13.434774300000015,3.119256,0.550,9.357929800000022,0.781249
de-en,0.589,13.019631300000015,2.614598,0.586,9.367454699999996,0.711064
fi-en,0.697,11.060187400000018,2.085313,0.716,9.247418400000015,0.332877
lv-en,0.610,11.423567300000002,2.570462,0.689,7.224518100000012,0.24885
ru-en,0.640,13.486645600000031,2.560999,0.650,9.348437899999965,0.264931
tr-en,0.637,11.945082899999989,2.574326,0.626,9.324736599999994,0.227117
zh-en,0.540,12.56754920000003,2.387927,0.558,9.309676200000013,0.818638
cs-en,0.161,9.066474599999992,1.931327,0.299,9.444648100000109,0.781249
de-en,0.178,10.487882199999945,1.964911,0.310,9.298768700000096,0.711008
fi-en,0.338,9.785728400000039,1.709673,0.548,9.27695540000002,0.332821
lv-en,0.210,7.456413200000043,2.194751,0.434,7.251882899999941,0.248954
ru-en,0.210,32.35078320000002,6.495305,0.366,9.202943300000015,0.264875
tr-en,0.250,11.101510399999938,2.818414,0.379,9.19737090000001,0.227061
zh-en,0.330,12.846278999999981,2.144281,0.437,9.270823000000064,0.818638
